"","activity_description","subject","act.mean"
"1","LAYING",1,-0.681581978523055
"2","LAYING",2,-0.743126753233842
"3","LAYING",3,-0.734347688677236
"4","LAYING",4,-0.728668034663377
"5","LAYING",5,-0.739085358855865
"6","LAYING",6,-0.714481502407656
"7","LAYING",7,-0.723857064735047
"8","LAYING",8,-0.722406520353446
"9","LAYING",9,-0.726146510489097
"10","LAYING",10,-0.751454042087244
"11","LAYING",11,-0.739250481303299
"12","LAYING",12,-0.72760644728624
"13","LAYING",13,-0.731168410513377
"14","LAYING",14,-0.706780359580511
"15","LAYING",15,-0.732694054370465
"16","LAYING",16,-0.743287358888657
"17","LAYING",17,-0.731324690617382
"18","LAYING",18,-0.746133039821382
"19","LAYING",19,-0.742143249540819
"20","LAYING",20,-0.737847526254904
"21","LAYING",21,-0.729316795500066
"22","LAYING",22,-0.718920180798411
"23","LAYING",23,-0.738453366680006
"24","LAYING",24,-0.738162801094621
"25","LAYING",25,-0.6550466559966
"26","LAYING",26,-0.744683873718817
"27","LAYING",27,-0.747039773104429
"28","LAYING",28,-0.749711337306598
"29","LAYING",29,-0.747047283845479
"30","LAYING",30,-0.73371945664569
"31","SITTING",1,-0.725010256710861
"32","SITTING",2,-0.737361985616243
"33","SITTING",3,-0.707845449974583
"34","SITTING",4,-0.717843420704141
"35","SITTING",5,-0.71816250875378
"36","SITTING",6,-0.7166252231237
"37","SITTING",7,-0.712354376735631
"38","SITTING",8,-0.72745694109493
"39","SITTING",9,-0.704523755500333
"40","SITTING",10,-0.73712845579557
"41","SITTING",11,-0.730213416461106
"42","SITTING",12,-0.727919507003818
"43","SITTING",13,-0.735239423441511
"44","SITTING",14,-0.730278809106672
"45","SITTING",15,-0.733838697315558
"46","SITTING",16,-0.734763414612203
"47","SITTING",17,-0.747004627057666
"48","SITTING",18,-0.743850843467203
"49","SITTING",19,-0.728175891288928
"50","SITTING",20,-0.726102407642704
"51","SITTING",21,-0.743125990670937
"52","SITTING",22,-0.720164924412542
"53","SITTING",23,-0.726113491116866
"54","SITTING",24,-0.737144249115584
"55","SITTING",25,-0.737614646951336
"56","SITTING",26,-0.732209186814351
"57","SITTING",27,-0.738607565821911
"58","SITTING",28,-0.731041115599865
"59","SITTING",29,-0.739022156685121
"60","SITTING",30,-0.732058477455571
"61","STANDING",1,-0.751886863913404
